Title,Description,Status,Priority,Labels,Estimate
"DA-1 Scaffold Design Arena app skeleton (backend + frontend)","Self-contained repo: FastAPI + SQLAlchemy backend (SQLite default), Vite/React/TS/Tailwind frontend, Makefile, README, env template. Backend serves built SPA in prod.",Done,High,infra,2
"DA-2 Data model for arena battles and votes","ORM schema: users, arena_models, battles, generations, matches, votes, rating_snapshots, model_ratings. Votes append-only with synthetic flag; anonymity enforced at serialization.",Done,High,"backend,data",2
"DA-3 Passwordless auth (email codes) with placeholder email delivery","Request-code/verify endpoints, 15-min single-use codes, HMAC-signed stdlib session tokens (cookie + bearer), /me, logout. Dev mode surfaces the code in the UI; EMAIL_PROVIDER_API_KEY placeholder.",Done,High,"backend,auth",2
"DA-4 Offline sample generation provider with model personas","14 design personas x 6 category template families (website, UI component, SVG dataviz, playable canvas game, SVG logo, ASCII art). Deterministic per (model, prompt, category), prompt-keyword aware.",Done,High,"backend,generation",3
"DA-5 Live vendor adapters behind placeholder keys","Anthropic/OpenAI/Google/OpenRouter adapters (httpx, shared category system prompts) routed by DESIGNARENA_GENERATION_MODE=live; fail fast with ProviderNotConfigured while keys are placeholders.",Done,High,"backend,generation",2
"DA-6 Battle orchestration + tournament state machine","Random 4-model selection, async generation fan-out, shuffled anonymous slots, semi1/semi2 -> final/third bracket with server-enforced vote order, vote rows per pairwise choice, reveal on completion.",Done,Urgent,"backend,core-loop",3
"DA-7 Bradley-Terry ratings engine","MM fit over pairwise votes, smoothing for undefeated models, Elo-style display scale (1200 anchor, 400/decade), bootstrap 95% CIs. Unit-tested.",Done,Urgent,"backend,pipeline",2
"DA-8 Leaderboard snapshot pipeline (batch + live triggers)","Materialized snapshots per category + overall; CLI batch job, background recompute on battle completion, API reads latest snapshot only. Verified live: completed battle moved website board 500->504 votes.",Done,Urgent,"backend,pipeline",2
"DA-9 Seed pipeline: model roster + synthetic bootstrap votes","14-model roster with latent per-category strengths; ~3k BT-distributed synthetic votes (flagged) so the board is credible on day one; --reset to regenerate.",Done,High,"backend,pipeline",1
"DA-10 Frontend: prompt -> vote -> reveal core loop","Landing (category chips, examples, champions teaser), battle page with side-by-side sandboxed interactive previews, vote buttons + arrow keys, progress dots, podium reveal.",Done,Urgent,"frontend,core-loop",3
"DA-11 Frontend: leaderboard, login, history","Leaderboard with category tabs/score bars/CIs/win rates; email-code login flow with dev-code surface; My battles history with resume-voting and winners.",Done,High,frontend,2
"DA-12 Test suite + browser QA","10 backend tests (ratings math, API flow, bracket order, auth gating, leaderboard freshness); Playwright run through the full real-browser flow; game-template polish fixes.",Done,High,quality,2
"DA-13 Swap in real provider keys and smoke-test live generation","Replace PLACEHOLDER_* keys, set DESIGNARENA_GENERATION_MODE=live, verify each adapter against real endpoints, tune category system prompts on real outputs.",Backlog,Urgent,"backend,generation",2
"DA-14 Wire transactional email for login codes","Integrate Resend/SendGrid behind EMAIL_PROVIDER_API_KEY, set DESIGNARENA_DEV_LOGIN_CODE=0, add resend-code UX and basic rate limiting.",Backlog,High,"backend,auth",1
"DA-15 Async generation UX for live mode","Battle POST returns in generating status; worker fills generations; frontend polls/SSE with per-slot skeletons and failure/retry states.",Backlog,High,"backend,frontend",3
"DA-16 Production hardening pass","Real DESIGNARENA_SECRET_KEY, Postgres, Alembic migrations, admin-guard the recompute endpoint, restrict CORS, schedule the batch ratings job.",Backlog,High,infra,2
"DA-17 Vote integrity & synthetic decay","Per-user rate limits, anomaly filters at pipeline read time, scheduled down-weighting/aging of synthetic votes as human volume grows.",Backlog,Medium,"pipeline,trust",3
"DA-18 Tie votes and tiebreaker match","Both-good/both-bad options per pairwise, optional 5th tiebreaker match; extend vote schema with outcome type and teach the BT fit ties.",Backlog,Medium,core-loop,2
"DA-19 Share pages and winners gallery","Public read-only battle page (prompt, bracket, revealed designs), OG images, gallery of recent champions by category.",Backlog,Medium,"frontend,growth",3
"DA-20 New-model onboarding flow","Admin path to add a roster model: provisional rating, min-vote threshold before listing, active/inactive toggles in an admin UI.",Backlog,Low,"backend,admin",2
"DA-21 Design fidelity pass v2 (match designarena.ai closer)","Generating intro phase, icon category grid, stats row, bracket visualization, leaderboard podium + movement deltas + methodology, fullscreen expand, typography, brand-name extraction, website/chart/logo variants.",Done,High,"frontend,backend,design",3
"BS-1 Vertical + scenario taxonomy (Legal, Finance/ERP)","Two accountability-filtered verticals, four task types, synthetic scenario library with structured facts (planted issues, expected postings, mapping keys).",Done,High,"backend,product",2
BS-2 Professional work-product generator with quality tiers,"Offline generator drafting redlines, risk memos, journal entries, CoA mappings as paper-styled HTML; latent per-model quality changes substance; deterministic per (model, scenario).",Done,High,"backend,generation",3
BS-3 Calibration traps (gold-standard checks),"Hidden comparison vs deliberately broken artifact per session; trap_results score the rater, never the models; positions/slots shuffled.",Done,Urgent,"backend,trust",2
BS-4 Credential tiers + weighted verified boards,Tier from email domain; votes carry weight + server-side decision_ms; timing floor; weighted Bradley-Terry; published snapshots use counted weight>=1 votes only.,Done,Urgent,"backend,trust",3
BS-5 Reviewer record (the reviewer's payoff),"Calibration score, consensus agreement, percentile, badge ladder, tier explanation - the what's-in-it-for-the-reviewer loop.",Done,High,"backend,frontend,growth",2
BS-6 Frontend pivot,"Repositioned home, vertical/task/scenario picker, onboarding modal, 5-comparison judging UI, reveal with calibration card, vertical-grouped leaderboard, profile page.",Done,High,frontend,3
BS-7 Tests + browser QA for the pivot,15 backend tests; Playwright run through the full new flow with screenshot review.,Done,High,quality,2
BS-8 Describe-don't-disclose scenario synthesis,Synthesize a parallel synthetic document from a user's description - the privacy-preserving BYOD path.,Backlog,High,"backend,product",3
BS-9 License verification integrations,Bar/CPA/SAP cert checks to tier 2; admin flow for named tier-3 reviewers.,Backlog,High,"backend,trust",3
BS-10 Rater-level reliability weighting,BT on raters from trap + consensus agreement as continuous vote weight; astroturf pattern detection.,Backlog,Medium,"pipeline,trust",3
BS-11 Per-firm private arena (the enterprise product),"Firm workspace: their scenarios, named reviewers, private board, benchmark certificate readout.",Backlog,High,"product,enterprise",5
BS-12 Morning docket,One comparison a day by email; streaks and calibration progress in the digest.,Backlog,Medium,growth,2
BS-13 Prompt-first front door (pre-signup taste),Prompt box front door: describe the work -> one blind comparison before signup; signup records the score and continues the session. Pulls describe-don't-disclose forward. No daily-puzzle framing.,Backlog,Urgent,"frontend,growth",3
BS-14 Medical coding & clinical documentation vertical,"E/M coding of clinical notes (ICD-10/CPT keyed), prior-auth appeals, denial responses. Strongest certification culture; half-deterministic scoring; training demand from churn.",Backlog,High,"backend,product,vertical",4
BS-15 Tax vertical,"Tax memos on positions, return-position review, client letters. Seasonally viral; overlaps finance reviewer base.",Backlog,Medium,"backend,product,vertical",4
BS-16 Company boards + release-drama engine (prototype scope),"Roster kinds foundation|product|declined with provenance + version; vendor products seeded and ranked per vertical; declined vendors as empty-chair FOMO rows with submission CTA; model_releases + simulate endpoint re-running boards with captured rank movement; Release radar UI + home drama banner. 19 tests passing.",Done,Urgent,"backend,pipeline,frontend,growth",4
BS-18 Company boards production scope,"Vendor submission portal (opt-in, terms, versioned resubmission); buyer-contributed outputs under buyer license; real release detection replacing simulate; product re-run cadence; quarterly State-of-vertical report from captured movement.",Backlog,High,"backend,pipeline,growth",4
BS-17 Training & ramp-up mode (L&D SKU),"Judging as deliberate practice for juniors: calibrated curricula, instant trap feedback, manager dashboards; per-seat L&D pricing; trainee votes low-weight until calibrated.",Backlog,High,"product,enterprise",4
